Date	Hour	Price
08.02.2018	H12	50.50
08.02.2018	H13	47.89
08.02.2018	H14	47.48
08.02.2018	H15	47.23
08.02.2018	H16	49.33
08.02.2018	H17	52.59
08.02.2018	H18	60.48
08.02.2018	H19	64.56
08.02.2018	H20	56.63
08.02.2018	H21	46.20
08.02.2018	H22	40.10
08.02.2018	H23	38.50
08.02.2018	H24	35.44
09.02.2018	H1	33.78
09.02.2018	H2	33.45
09.02.2018	H3	31.86
09.02.2018	H4	31.35
09.02.2018	H5	31.38
09.02.2018	H6	31.89
09.02.2018	H7	37.00
09.02.2018	H8	49.77
09.02.2018	H9	51.79
09.02.2018	H10	49.80
09.02.2018	H11	48.40
09.02.2018	H12	45.00
09.02.2018	H13	42.60
09.02.2018	H14	40.40
09.02.2018	H15	41.40
09.02.2018	H16	42.95
09.02.2018	H17	47.02
09.02.2018	H18	52.01
09.02.2018	H19	51.36
09.02.2018	H20	48.22
09.02.2018	H21	42.30
09.02.2018	H22	39.79
09.02.2018	H23	39.17
09.02.2018	H24	37.06
10.02.2018	H1	35.50
10.02.2018	H2	34.17
10.02.2018	H3	33.60
10.02.2018	H4	33.40
10.02.2018	H5	33.49
10.02.2018	H6	33.70
10.02.2018	H7	34.00
10.02.2018	H8	36.90
10.02.2018	H9	41.25
10.02.2018	H10	44.27
10.02.2018	H11	43.64
10.02.2018	H12	42.68
10.02.2018	H13	41.53
10.02.2018	H14	39.41
10.02.2018	H15	38.25
10.02.2018	H16	38.00
10.02.2018	H17	40.00
10.02.2018	H18	44.41
10.02.2018	H19	46.00
10.02.2018	H20	42.50
10.02.2018	H21	35.31
10.02.2018	H22	31.97
10.02.2018	H23	30.41
10.02.2018	H24	26.50
11.02.2018	H1	15.00
11.02.2018	H2	11.42
11.02.2018	H3	3.43
11.02.2018	H4	2.15
11.02.2018	H5	5.00
11.02.2018	H6	3.43
11.02.2018	H7	1.30
11.02.2018	H8	3.03
11.02.2018	H9	8.34
11.02.2018	H10	11.42
11.02.2018	H11	12.00
